Afghanistan	31.279	n/a	n/a	4.367	4.514	5.146	6.167	6.925	8.556	10.297	12.066	15.325	17.89	20.296	20.17	20.444	19.681	19.654
Albania	2.774	3.64	4.065	4.435	5.747	7.315	8.158	9.001	10.698	12.901	12.093	11.927	12.891	12.345	12.916	13.276	11.591	12.204
Algeria	39.5	54.749	54.745	56.761	67.864	85.327	103.198	117.027	134.977	171.001	137.054	161.207	199.394	209.005	209.703	213.518	175.077	181.71
Angola	24.383	9.13	8.936	12.497	14.189	19.641	28.234	41.789	60.449	84.178	75.492	82.471	104.116	115.342	124.174	129.326	102.011	98.815
Antigua and Barbuda	0.088	0.784	0.774	0.803	0.84	0.898	0.997	1.135	1.289	1.347	1.206	1.136	1.13	1.205	1.185	1.248	1.285	1.328
Argentina	42.643	340.74	322.235	116.695	152.807	181.894	220.907	262.814	329.275	403.744	376.826	461.652	558.681	607.596	622.054	543.061	578.705	578.692
Armenia	2.985	1.912	2.118	2.376	2.807	3.577	4.9	6.384	9.206	11.662	8.648	9.26	10.142	10.619	11.121	11.644	10.607	10.672
Australia	23.626	397.303	376.263	423.647	537.564	655.811	734.057	781.353	946.892	1036.17	981.617	1244.973	1499.947	1555.263	1497.218	1442.722	1240.803	1252.999
Austria	8.508	196.998	197.123	213.725	261.22	300.264	315.187	334.603	386.995	429.638	398.602	390.939	429.431	407.599	428.833	437.582	372.606	386.227
Azerbaijan	9.342	5.273	5.71	6.232	7.276	8.682	13.245	21.027	33.09	46.378	44.289	52.913	64.819	68.7	73.537	74.145	63.983	63.602
The Bahamas	0.36	6.328	6.517	6.958	6.949	7.094	7.706	7.966	8.319	8.247	7.82	7.91	7.89	8.234	8.432	8.511	8.884	9.199
Bahrain	1.268	9.061	9.187	9.591	11.072	13.147	15.965	18.501	21.725	25.705	22.933	25.708	29.038	30.75	32.891	33.862	30.914	32.335
Bangladesh	158.217	54.586	54.755	57.5	63.204	68.593	70.921	75.77	85.604	97.062	108.896	122.039	131.079	141.705	161.297	183.824	202.333	218.991
Barbados	0.279	3.122	3.117	3.17	3.275	3.514	3.897	4.303	4.546	4.595	4.602	4.446	4.358	4.313	4.281	4.354	4.451	4.537
Belarus	9.468	10.418	12.355	14.595	17.825	23.142	30.21	36.962	45.276	60.752	49.209	55.221	59.735	63.615	73.098	76.139	62.02	66.37
Belgium	11.204	238.032	237.601	259.304	319.182	370.947	387.618	411.059	472.964	522.556	487.065	485.307	528.617	499.024	524.943	534.23	458.651	473.524
Belize	0.357	0.832	0.872	0.933	0.99	1.058	1.114	1.217	1.291	1.37	1.339	1.398	1.489	1.574	1.624	1.699	1.763	1.841
Benin	10.592	2.366	2.502	2.817	3.565	4.056	4.366	4.709	5.514	6.665	6.602	6.57	7.304	7.547	8.31	8.685	7.701	8.302
Bhutan	0.766	0.436	0.455	0.504	0.575	0.67	0.762	0.858	1.02	1.291	1.214	1.433	1.747	1.844	1.934	1.983	2.209	2.465
Bolivia	11.292	8.385	8.155	7.917	8.092	8.785	9.573	11.52	13.216	16.792	17.464	19.786	24.135	27.282	30.883	33.237	33.537	35.231
Bosnia and Herzegovina	3.871	5.554	5.784	6.711	8.477	10.157	10.935	12.46	15.323	18.712	17.265	16.847	18.318	16.906	17.842	18.165	15.568	16.306
Botswana	2.104	5.804	5.516	5.456	7.538	8.969	10.027	10.165	10.942	11.028	10.317	12.794	15.725	14.807	15.097	15.217	13.091	13.011
Brazil	202.769	657.249	560.221	510.618	558.921	669.616	892.106	1107.789	1395.968	1694.616	1666.768	2209.266	2613.061	2412.024	2391.029	2346.583	1799.612	1672.898
Brunei Darussalam	0.413	6.662	6.218	6.487	7.279	8.739	10.581	12.736	13.576	16.031	11.893	13.707	18.527	19.047	18.092	17.104	11.636	11.853
Bulgaria	7.202	13.396	14.31	16.391	21.14	25.953	29.377	33.686	43.7	53.644	50.249	48.782	55.799	52.613	54.517	55.824	47.167	48.594
Burkina Faso	17.429	2.633	2.836	3.218	4.212	4.843	5.474	5.82	6.781	8.409	8.391	9.123	10.734	11.172	12.202	12.503	11.323	12.239
Burundi	9.201	0.87	0.877	0.825	0.785	0.915	1.117	1.273	1.356	1.612	1.775	2.032	2.371	2.51	2.723	3.094	2.97	3.247
Cabo Verde	0.518	0.589	0.616	0.679	0.891	1.023	1.09	1.237	1.514	1.789	1.712	1.664	1.865	1.752	1.838	1.858	1.641	1.747
Cambodia	15.313	3.667	3.992	4.289	4.665	5.334	6.287	7.268	8.63	10.342	10.391	11.232	12.818	14.057	15.362	16.551	17.714	19.198
Cameroon	22.544	9.272	9.638	10.888	13.63	15.784	16.617	17.97	20.461	23.432	23.442	23.667	26.612	26.487	29.576	31.777	28.524	30.79
Canada	35.492	739.481	732.762	752.562	887.868	1018.375	1164.253	1310.852	1457.873	1542.561	1370.839	1614.072	1788.741	1832.716	1838.964	1785.387	1572.781	1592.348
Central African Republic	4.701	0.885	0.897	0.963	1.11	1.257	1.337	1.461	1.698	1.985	1.982	1.986	2.196	2.171	1.538	1.726	1.624	1.84
Chad	11.284	1.572	1.936	2.257	3.102	5.003	6.658	7.429	8.651	10.401	9.278	10.678	12.168	12.375	12.951	13.945	11.688	12.82
Chile	17.819	77.982	71.285	70.103	76.098	99.269	123.058	154.721	173.078	179.565	172.107	217.283	250.651	265.134	276.659	258.017	240.041	240.309
China	1367.82	1205.263	1332.247	1461.92	1649.924	1941.748	2268.615	2729.75	3523.275	4558.901	5059.716	6039.547	7492.529	8461.511	9490.845	10356.508	11384.763	12253.975
Colombia	47.662	99.875	98.201	97.946	94.645	117.092	146.547	162.766	207.465	244.302	233.893	286.954	336.369	369.56	380.041	377.867	274.189	263.476
Comoros	0.776	0.202	0.22	0.252	0.325	0.363	0.388	0.404	0.466	0.533	0.537	0.544	0.611	0.596	0.658	0.697	0.589	0.625
Democratic Republic of the Congo	79.301	19.077	8.173	8.719	8.954	10.341	11.951	14.296	16.364	19.129	18.315	20.641	24.575	27.566	32.676	35.918	39.059	42.056
Republic of Congo	4.274	3.22	2.794	3.02	3.503	4.655	6.098	7.738	8.407	11.915	9.618	12.029	14.433	13.678	13.478	13.552	8.871	9.769
Costa Rica	4.775	15.947	16.404	16.844	17.518	18.595	19.965	22.526	26.322	29.838	29.383	36.298	41.237	45.301	49.237	49.553	51.618	54.977
Côte d'Ivoire	23.11	10.748	11.202	12.39	15.336	16.576	17.115	17.817	20.373	24.339	24.341	24.931	25.405	27.114	31.072	33.741	31.27	34.284
Croatia	4.236	21.773	23.265	26.9	34.734	41.619	45.379	50.448	60.125	70.453	62.662	59.611	62.172	56.484	57.75	57.073	48.932	50.04
Cyprus	0.891	9.932	10.327	11.347	14.45	17.172	18.547	20.213	23.83	27.622	25.66	25.294	27.114	24.954	24.065	23.263	19.383	19.894
Czech Republic	10.512	61.474	67.376	81.684	99.322	118.971	135.99	155.213	188.614	235.513	205.852	207.016	227.313	206.442	208.328	205.27	182.462	189.982
Denmark	5.617	164.188	164.82	178.648	218.139	251.24	264.581	282.972	319.5	352.589	319.765	319.812	341.498	322.277	335.878	342.362	291.043	300.906
Djibouti	0.939	0.556	0.577	0.596	0.628	0.666	0.709	0.769	0.848	0.984	1.049	1.129	1.239	1.354	1.455	1.589	1.743	1.93
Dominica	0.071	0.333	0.34	0.333	0.343	0.367	0.364	0.39	0.421	0.458	0.489	0.494	0.501	0.485	0.507	0.524	0.538	0.559
Dominican Republic	9.883	25.613	26.588	28.243	22.517	23.366	36.101	38.254	43.972	48.07	48.136	53.803	58.304	60.53	61.293	64.058	66.575	69.908
Ecuador	16.027	18.319	24.468	28.549	32.433	36.592	41.507	46.802	51.008	61.763	62.52	69.555	79.277	87.623	94.473	100.543	98.925	101.698
Egypt	86.7	99.624	97.266	85.843	80.994	78.799	89.519	107.375	130.346	162.435	188.608	218.763	235.598	262.256	271.427	286.435	n/a	n/a
